Date,Close,Predictions,title_senti_comp,news_senti_comp,avg_senti_comp,residual,ols_adjusted_pred,recommnedation,recommendation,Buy,Purchased
2021-04-09,1982.050048828125,1997.648,0.0,0.0,0.0,15.597900390625,1988.525048828125,Buy,Buy,1,1982.050048828125
2021-04-12,1911.1500244140625,1995.8479,0.0,0.0,0.0,84.6978759765625,1917.6250244140624,Buy,Buy,1,1911.1500244140625
2021-04-13,1931.800048828125,1942.6788,0.0,0.0,0.0,10.8787841796875,1938.275048828125,Buy,Buy,1,1931.800048828125
2021-04-15,1944.300048828125,1919.2117,0.0,0.0,0.0,-25.08837890625,1950.775048828125,Buy,Buy,1,1944.300048828125
2021-04-16,1932.0999755859373,1918.3875,0.0,0.0,0.0,-13.712524414062273,1938.5749755859372,Buy,Buy,1,1932.0999755859373
2021-04-19,1901.699951171875,1916.3696,0.0,0.0,0.0,14.669677734375,1908.174951171875,Buy,Buy,1,1901.699951171875
2021-04-20,1901.1500244140625,1899.5605,0.0,0.0,0.0,-1.5894775390625,1907.6250244140624,Buy,Buy,1,1901.1500244140625
2021-04-22,1906.4000244140625,1887.4064,0.0,0.0,0.0,-18.99365234375,1912.8750244140624,Buy,Buy,1,1906.4000244140625
2021-04-23,1904.3499755859373,1884.2266,0.19733333333333333,0.5954666666666667,0.3933333333333333,-20.123413085937273,1901.9644315859373,Hold,Hold,0,0.0
2021-04-26,1937.8499755859373,1883.2678,-0.17615999999999998,0.09584,-0.04,-54.58215332031227,1942.8988763859372,Hold,Hold,0,0.0
2021-04-27,1988.6500244140625,1899.181,0.0,0.0,0.0,-89.468994140625,1995.1250244140624,Buy,Buy,1,1988.6500244140625
2021-04-28,1997.300048828125,1950.2301,0.0,0.0,0.0,-47.0699462890625,2003.775048828125,Buy,Buy,1,1997.300048828125
2021-04-29,2024.050048828125,1963.8899,0.09866666666666668,0.239,0.17,-60.16015625,2026.968728828125,Hold,Hold,0,0.0
2021-04-30,1994.5,1978.9004,0.0,0.0,0.0,-15.599609375,2000.975,Buy,Buy,1,1994.5
2021-05-03,1959.050048828125,1973.4387,0.0,0.2263,0.11,14.388671875,1962.157704828125,Hold,Hold,0,0.0
2021-05-04,1916.5999755859373,1963.0746,0.0,0.0,0.0,46.47460937500023,1923.0749755859372,Buy,Buy,1,1916.5999755859373
2021-05-05,1920.0999755859373,1945.0073,-0.0258,0.5106,0.24,24.907348632812727,1918.9772475859372,Hold,Hold,0,0.0
2021-05-06,1931.0,1897.8837,0.3182,0.6908,0.5,-33.1163330078125,1927.195896,Hold,Hold,0,0.0
2021-05-07,1931.75,1902.0916,0.0,0.0,0.0,-29.658447265625,1938.225,Buy,Buy,1,1931.75
2021-05-10,1926.199951171875,1907.9292,0.08895,0.8767499999999999,0.48,-18.270751953125,1919.628911171875,Hold,Hold,0,0.0
2021-05-11,1933.1500244140625,1907.0929,0.0,0.0,0.0,-26.05712890625,1939.6250244140624,Buy,Buy,1,1933.1500244140625
2021-05-12,1913.1500244140625,1906.4412,0.0,0.7288,0.365,-6.7088623046875,1908.7804804140624,Hold,Hold,0,0.0
2021-05-14,1937.300048828125,1910.5883,0.33525,0.8041499999999999,0.57,-26.7117919921875,1931.8092968281248,Hold,Hold,0,0.0
2021-05-17,1960.3499755859373,1904.3008,0.0,0.7867,0.39,-56.04919433593727,1955.1188795859373,Hold,Hold,0,0.0
2021-05-18,1987.949951171875,1942.4307,0.0,0.765,0.38,-45.519287109375,1983.041751171875,Hold,Hold,0,0.0
2021-05-19,1997.050048828125,1959.19,0.0,0.0,0.0,-37.860107421875,2003.525048828125,Buy,Buy,1,1997.050048828125
2021-05-20,1985.4000244140625,1969.3492,0.0,0.0,0.0,-16.05078125,1991.8750244140624,Buy,Buy,1,1985.4000244140625
2021-05-21,2002.550048828125,1970.7502,0.0,0.0,0.0,-31.7998046875,2009.025048828125,Buy,Buy,1,2002.550048828125
2021-05-24,1985.6500244140625,1979.0256,0.0,0.0,0.0,-6.6243896484375,1992.1250244140624,Buy,Buy,1,1985.6500244140625
2021-05-25,1963.1500244140625,1978.6699,0.0,0.0,0.0,15.5198974609375,1969.6250244140624,Buy,Buy,1,1963.1500244140625
2021-05-26,1970.050048828125,1972.6791,0.0,0.0,0.0,2.6290283203125,1976.525048828125,Buy,Buy,1,1970.050048828125
2021-05-27,1976.0999755859373,1963.2335,0.0,0.0,0.0,-12.866455078124773,1982.5749755859372,Buy,Buy,1,1976.0999755859373
