Date,Open,High,Low,Close,Adj Close,Volume,SMA3,SMA5,SMA9,SMA15,SMA30,EMA3,EMA5,EMA9,EMA15,EMA30,1d_diff,5d_diff,10d_diff,Volume_100k
2016-12-27,519.00537109375,528.5399780273438,518.5843505859375,527.3512573242188,513.8496704101562,8049872,523.281494140625,523.6414184570312,523.7355211046007,518.1303141276042,505.0790232340495,524.2778185121399,523.6182048264226,521.6414353122998,517.8001823388674,512.3083953273728,8.325286865234375,3.2818603515625,12.017364501953125,80.499
2016-12-28,528.9362182617188,529.7534790039062,518.6338500976562,519.9216918945312,506.6103515625,4447617,522.0267333984375,522.2991455078125,523.5566609700521,519.7994934082031,506.12164103190105,522.0997552033356,522.3860338491255,521.2974866287461,518.0653710333254,512.7995757510605,-7.23931884765625,-6.53955078125,-4.72967529296875,44.476
2016-12-29,520.0702514648438,529.3819580078125,519.8225708007812,527.7227172851562,514.211669921875,4048426,524.9985555013021,523.4977783203125,524.013441297743,521.2986165364583,507.5695831298828,524.9112362442459,524.1649283278025,522.5825327600282,519.2725393148042,513.7623590758409,7.601318359375,5.839691162109375,6.0328369140625,40.484
2016-12-30,527.4007568359375,537.4059448242188,526.5587768554688,536.1181640625,522.39208984375,7251073,527.9208577473959,525.9842163085938,525.1058688693577,523.0635559082032,509.1363993326823,530.5147001533729,528.1493402393684,525.2896590205225,521.3782424082663,515.2046690749802,8.180419921875,12.113800048828125,12.186248779296875,72.511
2017-01-02,536.91064453125,539.8824462890625,531.1403198242188,537.4554443359375,523.6951904296875,3275674,533.7654418945312,529.7138549804688,526.6027899848091,524.9754313151042,510.68175048828124,533.9850722446552,531.2513749382248,527.7228160836055,523.3878926492251,516.6402029627839,1.3031005859375,18.170806884765625,10.8831787109375,32.757
2017-01-03,539.8081665039062,543.349609375,535.4742431640625,539.5852661132812,525.7705078125,2969384,537.7196248372396,532.1606567382812,528.0419243706597,526.6132405598959,512.1338195800781,536.7851691789682,534.0293386632436,530.0953060895406,525.4125643322321,518.1205296176547,2.0753173828125,11.92083740234375,15.20269775390625,29.694
2017-01-04,541.31884765625,541.3683471679688,527.1531372070312,528.5647583007812,515.0321044921875,4796129,535.2018229166666,533.8892700195313,528.8013916015625,526.8658487955729,513.0938863118489,532.6749637398748,532.2078118757562,529.7891965317888,525.8065885783008,518.7943508230178,-10.7384033203125,8.4217529296875,1.8822021484375,47.961
2017-01-05,530.4716796875,534.8798828125,529.3572387695312,533.6416015625,519.97900390625,4030815,533.9305419921875,535.073046875,529.9075724283854,527.673193359375,514.5806264241536,533.1582826511874,532.6857417713375,530.5596775379311,526.7859652013257,519.7522379675006,4.9468994140625,5.767333984375,11.607025146484375,40.308
2017-01-06,532.056640625,537.4059448242188,531.5117797851562,532.4281005859375,518.7965698242188,3620853,531.5448201497396,534.3350341796875,531.4210001627604,528.2609537760417,515.9220774332682,532.7931916185624,532.5998613762042,530.9333621475324,527.4912321244021,520.5700355557868,-1.18243408203125,-3.59552001953125,8.518280029296875,36.209
2017-01-09,533.4434814453125,537.9012451171875,530.4716796875,533.7902221679688,520.1238403320312,2413173,533.2866414388021,533.6019897460938,532.1364407009548,528.7612141927083,517.4253285725912,533.2917068932657,532.9966483067924,531.5047341516197,528.278605879848,521.4229508210889,1.3272705078125,-3.57135009765625,14.599456787109375,24.132
2017-01-10,534.9293823242188,542.061767578125,534.9293823242188,539.8081665039062,525.9876708984375,5237984,535.3421630859375,533.6465698242188,534.3460489908854,529.8162150065104,518.9467407226563,536.549936698586,535.2671543724971,533.165420622077,529.7198009578553,522.6090937683674,5.86383056640625,0.2171630859375,12.13800048828125,52.38
2017-01-11,542.3590087890625,542.7056884765625,536.91064453125,537.926025390625,524.1537475585938,5296152,537.1748046875,535.5188232421875,535.479749891493,530.5690795898438,520.5317179361979,537.2379810446055,536.1534447118731,534.1175415757866,530.7455790119516,523.5972829052873,-1.83392333984375,9.12164306640625,17.54339599609375,52.962
